,Fav genre
0,8.0
1,8.0
2,4.0
3,8.0
4,9.0
5,8.0
6,1.0
7,4.0
8,8.0
9,1.0
10,4.0
11,2.0
12,4.0
13,6.0
14,4.0
15,2.0
16,3.0
17,2.0
18,10.0
19,11.0
20,4.0
21,4.0
22,12.0
23,9.0
24,9.0
25,9.0
26,6.0
27,11.0
28,13.0
29,6.0
30,4.0
31,4.0
32,4.0
33,4.0
34,6.0
35,0.0
36,11.0
37,2.0
38,3.0
39,0.0
40,4.0
41,4.0
42,10.0
43,4.0
44,2.0
45,11.0
46,4.0
47,10.0
48,12.0
49,5.0
50,4.0
51,8.0
52,7.0
53,10.0
54,8.0
55,0.0
56,6.0
57,4.0
58,9.0
59,4.0
60,11.0
61,4.0
62,8.0
63,0.0
64,8.0
65,0.0
66,4.0
67,4.0
68,10.0
69,3.0
70,8.0
71,4.0
72,10.0
73,4.0
74,8.0
75,4.0
76,14.0
77,4.0
78,4.0
79,15.0
80,4.0
81,8.0
82,12.0
83,12.0
84,11.0
85,2.0
86,11.0
87,12.0
88,10.0
89,2.0
90,11.0
91,14.0
92,1.0
93,8.0
94,4.0
95,4.0
96,3.0
97,12.0
98,8.0
99,8.0
100,10.0
101,5.0
102,6.0
103,9.0
104,11.0
105,9.0
106,4.0
107,10.0
108,4.0
109,8.0
110,8.0
111,4.0
112,4.0
113,7.0
114,4.0
115,8.0
116,9.0
117,12.0
118,5.0
119,11.0
120,13.0
121,4.0
122,6.0
123,7.0
124,0.0
125,0.0
126,4.0
127,0.0
128,0.0
129,11.0
130,8.0
131,0.0
132,8.0
133,5.0
134,4.0
135,2.0
136,8.0
137,11.0
138,4.0
139,5.0
140,10.0
141,15.0
142,7.0
143,11.0
144,1.0
145,4.0
146,7.0
147,10.0
148,3.0
149,11.0
150,4.0
151,4.0
152,0.0
153,3.0
154,4.0
155,4.0
156,4.0
157,10.0
158,8.0
159,9.0
160,5.0
161,7.0
162,12.0
163,4.0
164,4.0
165,4.0
166,11.0
167,7.0
168,8.0
169,7.0
170,9.0
171,2.0
172,6.0
173,4.0
174,2.0
175,14.0
176,4.0
177,4.0
178,4.0
179,7.0
180,4.0
181,10.0
182,4.0
183,4.0
184,1.0
185,8.0
186,0.0
187,11.0
188,7.0
189,11.0
190,9.0
191,11.0
192,11.0
193,11.0
194,12.0
195,1.0
196,4.0
197,8.0
198,11.0
199,4.0
200,4.0
201,7.0
202,4.0
203,8.0
204,4.0
205,4.0
206,8.0
207,8.0
208,10.0
209,11.0
210,11.0
211,4.0
212,6.0
213,4.0
214,6.0
215,5.0
216,6.0
217,5.0
218,0.0
219,4.0
220,11.0
221,0.0
222,11.0
223,8.0
224,11.0
225,4.0
226,4.0
227,11.0
228,11.0
229,8.0
230,8.0
231,10.0
232,8.0
233,4.0
234,9.0
235,10.0
236,4.0
237,8.0
238,8.0
239,11.0
240,11.0
241,10.0
242,8.0
243,8.0
244,8.0
245,4.0
246,4.0
247,5.0
248,8.0
249,8.0
250,2.0
251,4.0
252,9.0
253,7.0
254,2.0
255,8.0
256,4.0
257,5.0
258,3.0
259,7.0
260,5.0
261,9.0
262,4.0
263,8.0
264,11.0
265,6.0
266,11.0
267,8.0
268,11.0
269,8.0
270,9.0
271,11.0
272,6.0
273,8.0
274,8.0
275,4.0
276,4.0
277,2.0
278,13.0
279,4.0
280,4.0
281,13.0
282,4.0
283,6.0
284,8.0
285,4.0
286,3.0
287,4.0
288,8.0
289,10.0
290,11.0
291,4.0
292,4.0
293,6.0
294,6.0
295,6.0
296,8.0
297,6.0
298,2.0
299,7.0
300,8.0
301,0.0
302,2.0
303,8.0
304,8.0
305,11.0
306,7.0
307,11.0
308,8.0
309,8.0
310,5.0
311,9.0
312,8.0
313,3.0
314,4.0
315,4.0
316,8.0
317,4.0
318,11.0
319,5.0
320,0.0
321,4.0
322,4.0
323,5.0
324,4.0
325,6.0
326,1.0
327,10.0
328,4.0
329,3.0
330,11.0
331,10.0
332,4.0
333,10.0
334,0.0
335,4.0
336,8.0
337,6.0
338,8.0
339,8.0
340,11.0
341,11.0
342,8.0
343,4.0
344,12.0
345,4.0
346,8.0
347,4.0
348,2.0
349,3.0
